button press for z-direction,X Payload Deflection (mm),X Crane Position (mm),X Actual Velocity (mm/sec),Z-axis actual position,button press for x-direction,Time Y-dir (sec),Y Payload Deflection (mm),Y Crane Position (mm),Y Actual Velocity (mm/sec),Z-axis actual velocity,button press for y direction
0,-39,148,38,1729,0,13.1092,43,-612,-10,0,0
0,-39,150,37,1729,0,13.1092,44,-613,-10,0,0
0,-41,151,36,1729,0,13.1605,47,-613,-12,0,0
0,-41,153,35,1729,0,13.21163,45,-614,-12,0,0
0,-41,155,34,1729,0,13.26234,44,-615,-12,0,0
0,-41,157,34,1729,0,13.3133,43,-615,-12,0,0
0,-41,158,33,1729,0,13.36452,42,-616,-12,0,0
0,-41,160,32,1729,0,13.41525,41,-616,-12,0,0
0,-41,162,31,1729,0,13.46645,38,-617,-12,0,0
0,-41,163,30,1729,0,13.51748,36,-618,-10,0,0
0,-41,165,30,1729,0,13.56849,29,-618,-10,0,0
0,-41,166,29,1729,0,13.61944,25,-619,-10,0,0
0,-41,168,28,1729,0,13.67069,21,-619,-8,0,0
0,-41,169,27,1729,0,13.72132,18,-619,-6,0,0
0,-41,170,26,1729,0,13.77253,14,-620,-6,0,0
0,-41,172,25,1729,0,13.82357,10,-620,-4,0,0
0,-41,173,24,1729,0,13.87461,6,-620,-4,0,0
0,-39,174,23,1729,0,13.92551,2,-620,-2,0,0
0,-39,175,22,1729,0,13.97688,-7,-620,0,0,0
0,-39,176,21,1729,0,14.02748,-11,-620,2,0,0
0,-41,177,20,1729,0,14.07856,-14,-620,2,0,0
0,-41,178,20,1729,0,14.12962,-17,-620,4,0,0
0,-41,179,19,1729,0,14.18054,-20,-620,6,0,0
0,-41,180,18,1729,0,14.23156,-23,-619,6,0,0
0,-41,181,17,1729,0,14.28277,-25,-619,8,0,0
0,-41,182,16,1729,0,14.33353,-27,-618,8,0,0
0,-41,183,15,1729,0,14.38463,-29,-618,10,0,0
0,-41,183,14,1729,0,14.43574,-31,-617,10,0,0
0,-41,184,13,1729,0,14.48655,-32,-617,10,0,0
0,-41,185,12,1729,0,14.53752,-33,-616,10,0,0
0,-41,185,10,1729,0,14.58882,-32,-616,12,0,0
0,-41,186,9,1729,0,14.63969,-32,-615,12,0,0
0,-39,186,8,1729,0,14.69058,-31,-615,12,0,0
0,-41,186,7,1729,0,14.74179,-30,-614,10,0,0
0,-41,187,6,1729,0,14.79259,-27,-614,10,0,0
0,-41,187,5,1729,0,14.84361,-25,-613,10,0,0
0,-41,187,4,1729,0,14.89487,-23,-613,10,0,0
0,-41,187,3,1729,0,14.94556,-14,-612,8,0,0
0,-41,188,2,1729,0,14.99788,-11,-612,8,0,0
0,-41,188,1,1729,0,15.04785,-6,-611,6,0,0
0,-41,188,1,1729,0,15.09873,-2,-611,6,0,0
0,-41,188,0,1729,0,15.14966,1,-611,6,0,0
0,-41,188,0,1729,0,15.20088,6,-610,8,0,0
0,-41,188,0,1729,0,15.25174,11,-610,8,0,0
0,-41,188,0,1729,0,15.30262,14,-609,10,0,0
0,-41,188,0,1729,0,15.35393,19,-609,12,0,0
0,-41,188,0,1729,0,15.4049,23,-608,14,0,0
0,-41,188,0,1729,0,15.45563,33,-607,14,0,0
0,-41,188,0,1729,0,15.50702,37,-607,16,0,0
0,-41,188,0,1729,0,15.55776,41,-606,18,0,0
0,-41,188,0,1729,0,15.60909,43,-605,20,0,0
0,-41,188,0,1729,0,15.65987,45,-604,22,0,0
0,-41,188,0,1729,0,15.71124,48,-602,24,0,0
0,-41,188,0,1729,0,15.76184,51,-601,26,0,0
0,-41,188,0,1729,0,15.86403,53,-600,28,0,0
0,-41,188,0,1729,0,15.86403,55,-598,30,0,0
0,-41,188,0,1729,0,15.91484,55,-597,32,0,0
0,-41,188,0,1729,0,15.96592,55,-595,34,0,0
